UDI,Timestamp,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Downtime_Minutes
5712,2024-02-09 23:50:00,L52891,302.2,311.6,1545,35.9,152,0,No Failure,0
5713,2024-02-10 00:00:00,L52892,302.2,311.7,1330,54.6,154,0,No Failure,0
5714,2024-02-10 00:10:00,L52893,302.2,311.9,1596,38.0,156,0,No Failure,0
5715,2024-02-10 00:20:00,L52894,302.2,311.8,1618,36.0,158,0,No Failure,0
5716,2024-02-10 00:30:00,H35129,302.2,311.9,1597,35.8,160,0,No Failure,0
5717,2024-02-10 00:40:00,L52896,302.3,312.0,1354,52.2,165,0,No Failure,0
5718,2024-02-10 00:50:00,L52897,302.3,312.0,1746,28.1,167,0,No Failure,0
5719,2024-02-10 01:00:00,L52898,302.4,312.0,1621,32.5,169,0,No Failure,0
5720,2024-02-10 01:10:00,L52899,302.3,312.0,1398,43.3,171,0,No Failure,0
5721,2024-02-10 01:20:00,L52900,302.3,311.9,1434,51.9,173,0,No Failure,0
5722,2024-02-10 01:30:00,M20581,302.3,311.8,1443,43.4,175,0,No Failure,0
5723,2024-02-10 01:40:00,L52902,302.2,311.7,1488,44.6,178,0,No Failure,0
5724,2024-02-10 01:50:00,M20583,302.3,311.8,1475,48.0,180,0,No Failure,0
5725,2024-02-10 02:00:00,L52904,302.3,311.8,1433,50.3,183,0,No Failure,0
5726,2024-02-10 02:10:00,M20585,302.3,311.8,1557,34.1,185,0,No Failure,0
5727,2024-02-10 02:20:00,M20586,302.4,311.9,1398,50.1,188,0,No Failure,0
5728,2024-02-10 02:30:00,M20587,302.3,311.8,1559,34.4,191,0,No Failure,0
5729,2024-02-10 02:40:00,M20588,302.4,311.9,1422,46.4,194,0,No Failure,0
5730,2024-02-10 02:50:00,M20589,302.3,311.8,1463,35.7,197,0,No Failure,0
5731,2024-02-10 03:00:00,L52910,302.3,311.7,1793,25.3,200,0,No Failure,0
5732,2024-02-10 03:10:00,L52911,302.2,311.6,1872,20.4,202,0,No Failure,0
5733,2024-02-10 03:20:00,L52912,302.2,311.7,1412,44.5,204,0,No Failure,0
5734,2024-02-10 03:30:00,L52913,302.3,311.8,1487,43.2,206,0,No Failure,0
5735,2024-02-10 03:40:00,L52914,302.3,311.8,1369,56.2,208,1,Overstrain Failure,206
5736,2024-02-10 03:50:00,L52915,302.4,311.8,1673,30.1,210,0,No Failure,0
5737,2024-02-10 04:00:00,M20596,302.4,311.9,1439,36.6,212,0,No Failure,0
5738,2024-02-10 04:10:00,L52917,302.3,311.8,1574,42.8,215,0,No Failure,0
5739,2024-02-10 04:20:00,L52918,302.3,311.7,1281,48.8,0,0,No Failure,0
5740,2024-02-10 04:30:00,M20599,302.2,311.7,1653,31.4,2,0,No Failure,0
5741,2024-02-10 04:40:00,M20600,302.3,311.7,1535,38.3,5,0,No Failure,0
5742,2024-02-10 04:50:00,M20601,302.3,311.7,1483,40.5,8,0,No Failure,0
5743,2024-02-10 05:00:00,L52922,302.3,311.7,1414,47.0,11,0,No Failure,0
5744,2024-02-10 05:10:00,M20603,302.2,311.6,1379,42.9,13,0,No Failure,0
5745,2024-02-10 05:20:00,H35158,302.2,311.5,1482,42.6,16,0,No Failure,0
5746,2024-02-10 05:30:00,L52925,302.1,311.5,1987,20.1,21,0,No Failure,0
5747,2024-02-10 05:40:00,M20606,302.1,311.5,1635,31.6,23,0,No Failure,0
5748,2024-02-10 05:50:00,L52927,302.1,311.5,1533,39.4,26,0,No Failure,0
5749,2024-02-10 06:00:00,M20608,302.2,311.7,1576,34.0,28,0,No Failure,0
5750,2024-02-10 06:10:00,H35163,302.2,311.8,1330,62.4,31,0,No Failure,0
5751,2024-02-10 06:20:00,L52930,302.2,311.8,1981,21.8,36,0,No Failure,0
5752,2024-02-10 06:30:00,H35165,302.3,311.8,1475,42.8,38,0,No Failure,0
5753,2024-02-10 06:40:00,H35166,302.3,311.8,1804,25.0,43,0,No Failure,0
5754,2024-02-10 06:50:00,L52933,302.2,311.6,1416,54.1,48,0,No Failure,0
5755,2024-02-10 07:00:00,L52934,302.1,311.5,1727,27.7,50,0,No Failure,0
5756,2024-02-10 07:10:00,L52935,302.1,311.4,1391,49.2,52,0,No Failure,0
5757,2024-02-10 07:20:00,M20616,302.0,311.5,1366,52.3,54,0,No Failure,0
5758,2024-02-10 07:30:00,L52937,301.9,311.3,1366,55.6,57,0,No Failure,0
5759,2024-02-10 07:40:00,L52938,301.9,311.3,1501,40.8,59,0,No Failure,0
5760,2024-02-10 07:50:00,L52939,301.8,311.3,1551,35.8,61,0,No Failure,0
5761,2024-02-10 08:00:00,M20620,301.9,311.3,1522,35.6,63,0,No Failure,0
5762,2024-02-10 08:10:00,L52941,301.9,311.2,1369,49.8,66,0,No Failure,0
5763,2024-02-10 08:20:00,L52942,301.8,311.2,1334,52.3,68,0,No Failure,0
5764,2024-02-10 08:30:00,H35177,301.8,311.2,1451,39.4,70,0,No Failure,0
5765,2024-02-10 08:40:00,L52944,301.7,311.2,1589,37.9,75,0,No Failure,0
5766,2024-02-10 08:50:00,L52945,301.7,311.3,1708,30.5,77,0,No Failure,0
5767,2024-02-10 09:00:00,M20626,301.7,311.2,1413,42.6,79,0,No Failure,0
5768,2024-02-10 09:10:00,M20627,301.6,311.2,1415,46.5,82,0,No Failure,0
5769,2024-02-10 09:20:00,L52948,301.7,311.3,1421,45.9,85,0,No Failure,0
5770,2024-02-10 09:30:00,L52949,301.7,311.3,1348,51.0,87,0,No Failure,0
5771,2024-02-10 09:40:00,L52950,301.6,311.2,1408,42.9,89,0,No Failure,0
5772,2024-02-10 09:50:00,L52951,301.6,311.2,1525,43.7,91,0,No Failure,0
5773,2024-02-10 10:00:00,L52952,301.6,311.3,1706,29.9,93,0,No Failure,0
5774,2024-02-10 10:10:00,H35187,301.6,311.2,1395,46.8,95,0,No Failure,0
5775,2024-02-10 10:20:00,L52954,301.5,311.1,1602,34.3,100,0,No Failure,0
5776,2024-02-10 10:30:00,L52955,301.6,311.1,1907,21.5,102,0,No Failure,0
5777,2024-02-10 10:40:00,L52956,301.6,311.1,1325,49.2,104,0,No Failure,0
5778,2024-02-10 10:50:00,L52957,301.6,311.1,1408,44.4,106,0,No Failure,0
5779,2024-02-10 11:00:00,M20638,301.7,311.1,1489,41.4,108,0,No Failure,0
5780,2024-02-10 11:10:00,L52959,301.6,311.1,1680,29.2,111,0,No Failure,0
5781,2024-02-10 11:20:00,L52960,301.7,311.2,1517,42.4,113,0,No Failure,0
5782,2024-02-10 11:30:00,M20641,301.7,311.1,1618,36.7,115,0,No Failure,0
5783,2024-02-10 11:40:00,L52962,301.7,311.1,1455,39.8,118,0,No Failure,0
5784,2024-02-10 11:50:00,H35197,301.8,311.1,1543,36.4,120,0,No Failure,0
5785,2024-02-10 12:00:00,M20644,301.8,311.1,1399,41.8,125,0,No Failure,0
5786,2024-02-10 12:10:00,L52965,301.7,311.1,1469,37.2,128,0,No Failure,0
5787,2024-02-10 12:20:00,L52966,301.7,311.2,1521,36.7,130,0,No Failure,0
5788,2024-02-10 12:30:00,L52967,301.7,311.3,1584,38.8,132,0,No Failure,0
5789,2024-02-10 12:40:00,L52968,301.8,311.5,1443,43.3,134,0,No Failure,0
5790,2024-02-10 12:50:00,M20649,301.8,311.5,1416,49.0,136,0,No Failure,0
5791,2024-02-10 13:00:00,M20650,301.7,311.2,1563,34.5,139,0,No Failure,0
5792,2024-02-10 13:10:00,M20651,301.8,311.3,1542,40.1,142,0,No Failure,0
5793,2024-02-10 13:20:00,M20652,301.8,311.3,1624,31.6,145,0,No Failure,0
5794,2024-02-10 13:30:00,L52973,301.8,311.3,1471,44.2,148,0,No Failure,0
5795,2024-02-10 13:40:00,M20654,301.9,311.5,1492,40.8,150,0,No Failure,0
5796,2024-02-10 13:50:00,M20655,301.9,311.4,1465,39.9,153,0,No Failure,0
5797,2024-02-10 14:00:00,L52976,301.7,311.1,1399,55.1,156,0,No Failure,0
5798,2024-02-10 14:10:00,L52977,301.6,311.0,1431,42.6,158,0,No Failure,0
5799,2024-02-10 14:20:00,L52978,301.5,310.9,1600,39.0,160,0,No Failure,0
5800,2024-02-10 14:30:00,L52979,301.5,310.8,1593,34.5,162,0,No Failure,0
5801,2024-02-10 14:40:00,L52980,301.5,310.9,1469,44.7,164,0,No Failure,0
5802,2024-02-10 14:50:00,L52981,301.5,310.8,1413,44.6,166,0,No Failure,0
5803,2024-02-10 15:00:00,L52982,301.4,310.8,1490,38.0,168,0,No Failure,0
5804,2024-02-10 15:10:00,L52983,301.5,310.9,1671,31.1,170,0,No Failure,0
5805,2024-02-10 15:20:00,L52984,301.5,310.9,1365,46.5,172,0,No Failure,0
5806,2024-02-10 15:30:00,M20665,301.4,310.9,1557,39.3,174,0,No Failure,0
5807,2024-02-10 15:40:00,L52986,301.4,310.9,1440,45.4,177,0,No Failure,0
5808,2024-02-10 15:50:00,M20667,301.4,310.9,1489,38.9,179,0,No Failure,0
5809,2024-02-10 16:00:00,L52988,301.4,311.0,1733,25.7,182,0,No Failure,0
5810,2024-02-10 16:10:00,H35223,301.3,311.0,1580,36.6,184,0,No Failure,0
5811,2024-02-10 16:20:00,L52990,301.3,311.0,1856,21.9,189,0,No Failure,0
5812,2024-02-10 16:30:00,L52991,301.3,311.1,1454,40.3,191,0,No Failure,0
5813,2024-02-10 16:40:00,L52992,301.4,311.1,1495,36.3,193,0,No Failure,0
5814,2024-02-10 16:50:00,L52993,301.2,311.0,1761,29.1,195,0,No Failure,0
5815,2024-02-10 17:00:00,M20674,301.3,311.0,1402,47.5,197,0,No Failure,0
5816,2024-02-10 17:10:00,L52995,301.2,311.0,1670,33.0,200,0,No Failure,0
5817,2024-02-10 17:20:00,L52996,301.3,311.0,1582,35.6,202,0,No Failure,0
5818,2024-02-10 17:30:00,L52997,301.3,311.0,1542,35.1,204,0,No Failure,0
5819,2024-02-10 17:40:00,L52998,301.3,311.0,1539,36.9,206,0,No Failure,0
5820,2024-02-10 17:50:00,L52999,301.3,311.0,1418,41.9,208,0,No Failure,0
5821,2024-02-10 18:00:00,L53000,301.3,311.1,1723,27.6,210,0,No Failure,0
5822,2024-02-10 18:10:00,L53001,301.3,311.1,1303,49.2,212,0,No Failure,0
5823,2024-02-10 18:20:00,M20682,301.3,311.0,1463,50.2,214,0,No Failure,0
5824,2024-02-10 18:30:00,L53003,301.2,311.0,1544,39.3,217,0,No Failure,0
5825,2024-02-10 18:40:00,L53004,301.2,311.0,1596,37.2,219,0,No Failure,0
5826,2024-02-10 18:50:00,L53005,301.3,311.1,1413,42.0,221,0,No Failure,0
5827,2024-02-10 19:00:00,M20686,301.3,311.1,1492,41.2,223,0,No Failure,0
5828,2024-02-10 19:10:00,L53007,301.3,311.1,1624,40.9,0,0,No Failure,0
5829,2024-02-10 19:20:00,L53008,301.3,311.1,1504,39.1,2,0,No Failure,0
5830,2024-02-10 19:30:00,M20689,301.2,311.1,1574,34.3,4,0,No Failure,0
5831,2024-02-10 19:40:00,M20690,301.3,311.2,1438,42.4,7,0,No Failure,0
5832,2024-02-10 19:50:00,L53011,301.3,311.3,1474,50.7,10,0,No Failure,0
5833,2024-02-10 20:00:00,L53012,301.3,311.2,1675,32.1,12,0,No Failure,0
5834,2024-02-10 20:10:00,L53013,301.3,311.2,1457,44.5,14,0,No Failure,0
5835,2024-02-10 20:20:00,L53014,301.3,311.3,1434,49.8,16,0,No Failure,0
5836,2024-02-10 20:30:00,L53015,301.3,311.2,1668,30.1,18,0,No Failure,0
5837,2024-02-10 20:40:00,L53016,301.2,311.1,1550,39.7,20,0,No Failure,0
5838,2024-02-10 20:50:00,M20697,301.3,311.1,1834,25.4,22,0,No Failure,0
5839,2024-02-10 21:00:00,M20698,301.4,311.2,1476,36.5,25,0,No Failure,0
5840,2024-02-10 21:10:00,M20699,301.4,311.2,1541,36.3,28,0,No Failure,0
5841,2024-02-10 21:20:00,M20700,301.3,311.1,1581,30.9,31,0,No Failure,0
5842,2024-02-10 21:30:00,M20701,301.3,311.1,1678,30.7,34,0,No Failure,0
5843,2024-02-10 21:40:00,L53022,301.4,311.2,1355,50.6,37,0,No Failure,0
5844,2024-02-10 21:50:00,L53023,301.5,311.2,1700,28.8,39,0,No Failure,0
5845,2024-02-10 22:00:00,L53024,301.4,311.1,1462,37.1,41,0,No Failure,0
5846,2024-02-10 22:10:00,M20705,301.4,311.2,1727,26.5,43,0,No Failure,0
5847,2024-02-10 22:20:00,L53026,301.4,311.3,1674,33.3,46,0,No Failure,0
5848,2024-02-10 22:30:00,L53027,301.4,311.3,1397,42.3,48,0,No Failure,0
5849,2024-02-10 22:40:00,L53028,301.4,311.3,2323,15.9,50,0,No Failure,0
5850,2024-02-10 22:50:00,M20709,301.4,311.2,1434,47.6,52,0,No Failure,0
5851,2024-02-10 23:00:00,L53030,301.3,311.1,1560,35.3,55,0,No Failure,0
5852,2024-02-10 23:10:00,L53031,301.2,311.0,1573,32.8,57,0,No Failure,0
5853,2024-02-10 23:20:00,H35266,301.2,310.9,1798,22.3,59,0,No Failure,0
5854,2024-02-10 23:30:00,L53033,301.2,311.0,1567,35.1,64,0,No Failure,0
5855,2024-02-10 23:40:00,L53034,301.2,310.9,1416,53.3,66,0,No Failure,0
5856,2024-02-10 23:50:00,M20715,301.2,310.9,1424,45.2,68,0,No Failure,0
5857,2024-02-11 00:00:00,H35270,301.2,310.9,1598,35.9,71,0,No Failure,0
5858,2024-02-11 00:10:00,L53037,301.3,310.9,1760,23.9,76,0,No Failure,0
5859,2024-02-11 00:20:00,L53038,301.3,311.0,1348,44.5,78,0,No Failure,0
5860,2024-02-11 00:30:00,L53039,301.3,311.0,1542,33.6,80,0,No Failure,0
5861,2024-02-11 00:40:00,L53040,301.3,310.9,1566,33.1,82,0,No Failure,0
5862,2024-02-11 00:50:00,L53041,301.3,311.0,1554,47.7,84,0,No Failure,0
5863,2024-02-11 01:00:00,L53042,301.4,311.0,1470,40.6,86,0,No Failure,0
5864,2024-02-11 01:10:00,M20723,301.4,311.1,1758,25.4,88,0,No Failure,0
5865,2024-02-11 01:20:00,M20724,301.4,311.0,1486,36.5,91,0,No Failure,0
5866,2024-02-11 01:30:00,M20725,301.5,311.1,1402,40.0,94,0,No Failure,0
5867,2024-02-11 01:40:00,L53046,301.5,311.1,1459,45.1,97,0,No Failure,0
5868,2024-02-11 01:50:00,L53047,301.5,311.0,1494,45.3,99,0,No Failure,0
5869,2024-02-11 02:00:00,L53048,301.5,311.1,1731,27.9,101,0,No Failure,0
5870,2024-02-11 02:10:00,L53049,301.5,311.1,2076,18.7,103,0,No Failure,0
5871,2024-02-11 02:20:00,L53050,301.5,311.1,2055,16.8,105,0,No Failure,0
5872,2024-02-11 02:30:00,L53051,301.5,311.1,1469,49.5,107,0,No Failure,0
5873,2024-02-11 02:40:00,M20732,301.5,311.0,1504,42.6,109,0,No Failure,0
5874,2024-02-11 02:50:00,M20733,301.5,311.1,1396,43.5,112,0,No Failure,0
5875,2024-02-11 03:00:00,M20734,301.5,311.1,1660,33.8,115,0,No Failure,0
5876,2024-02-11 03:10:00,M20735,301.5,311.0,1577,39.7,118,0,No Failure,0
5877,2024-02-11 03:20:00,L53056,301.5,311.1,1426,52.1,121,0,No Failure,0
5878,2024-02-11 03:30:00,L53057,301.5,311.1,1458,41.4,123,0,No Failure,0
5879,2024-02-11 03:40:00,L53058,301.4,311.0,1533,45.8,125,0,No Failure,0
5880,2024-02-11 03:50:00,L53059,301.4,311.0,1701,28.4,127,0,No Failure,0
5881,2024-02-11 04:00:00,L53060,301.5,311.1,1434,49.6,129,0,No Failure,0
5882,2024-02-11 04:10:00,L53061,301.4,311.1,1952,22.7,131,0,No Failure,0
5883,2024-02-11 04:20:00,L53062,301.4,311.1,1469,36.9,133,0,No Failure,0
5884,2024-02-11 04:30:00,L53063,301.4,311.1,1800,26.0,135,0,No Failure,0
5885,2024-02-11 04:40:00,M20744,301.3,311.1,1438,43.0,137,0,No Failure,0
5886,2024-02-11 04:50:00,L53065,301.3,311.1,1647,28.2,140,0,No Failure,0
5887,2024-02-11 05:00:00,L53066,301.4,311.1,1494,41.9,142,0,No Failure,0
5888,2024-02-11 05:10:00,H35301,301.4,311.1,1445,41.4,144,0,No Failure,0
5889,2024-02-11 05:20:00,M20748,301.5,311.1,1507,38.6,149,0,No Failure,0
5890,2024-02-11 05:30:00,M20749,301.4,311.0,1234,55.8,152,0,No Failure,0
5891,2024-02-11 05:40:00,L53070,301.4,311.0,1634,32.6,155,0,No Failure,0
5892,2024-02-11 05:50:00,L53071,301.4,311.0,1334,53.3,157,0,No Failure,0
5893,2024-02-11 06:00:00,L53072,301.4,311.1,1472,44.5,159,0,No Failure,0
5894,2024-02-11 06:10:00,M20753,301.3,311.0,1410,52.7,161,0,No Failure,0
5895,2024-02-11 06:20:00,L53074,301.2,310.9,1597,37.9,164,0,No Failure,0
5896,2024-02-11 06:30:00,M20755,301.2,310.9,1460,46.7,166,0,No Failure,0
5897,2024-02-11 06:40:00,L53076,301.1,310.8,1274,55.7,169,0,No Failure,0
5898,2024-02-11 06:50:00,M20757,301.0,310.7,1517,40.2,171,0,No Failure,0
5899,2024-02-11 07:00:00,L53078,301.0,310.7,1300,57.2,174,0,No Failure,0
5900,2024-02-11 07:10:00,H35313,300.9,310.6,1686,27.7,176,0,No Failure,0
5901,2024-02-11 07:20:00,M20760,300.9,310.7,1485,41.0,181,0,No Failure,0
5902,2024-02-11 07:30:00,L53081,301.0,310.7,1464,45.8,184,0,No Failure,0
5903,2024-02-11 07:40:00,L53082,300.9,310.6,1598,35.4,186,0,No Failure,0
5904,2024-02-11 07:50:00,L53083,300.9,310.5,1894,21.9,188,0,No Failure,0
5905,2024-02-11 08:00:00,M20764,300.8,310.5,1330,59.0,190,0,No Failure,0
5906,2024-02-11 08:10:00,H35319,300.8,310.5,1582,31.1,193,0,No Failure,0
5907,2024-02-11 08:20:00,L53086,300.7,310.3,1533,35.6,198,0,No Failure,0
5908,2024-02-11 08:30:00,H35321,300.8,310.4,1419,46.4,200,0,No Failure,0
5909,2024-02-11 08:40:00,M20768,300.8,310.3,1526,36.3,205,0,No Failure,0
5910,2024-02-11 08:50:00,H35323,300.7,310.2,1364,65.3,208,1,Power Failure,129
5911,2024-02-11 09:00:00,M20770,300.8,310.3,1458,43.4,0,0,No Failure,0
5912,2024-02-11 09:10:00,M20771,300.8,310.4,1288,64.0,3,0,No Failure,0
5913,2024-02-11 09:20:00,M20772,300.7,310.3,1659,29.8,6,0,No Failure,0
5914,2024-02-11 09:30:00,H35327,300.7,310.2,1479,52.3,9,0,No Failure,0
5915,2024-02-11 09:40:00,L53094,300.7,310.3,1592,36.0,14,0,No Failure,0
5916,2024-02-11 09:50:00,M20775,300.6,310.2,1532,38.7,16,0,No Failure,0
5917,2024-02-11 10:00:00,L53096,300.6,310.2,1555,41.9,19,0,No Failure,0
5918,2024-02-11 10:10:00,L53097,300.6,310.2,1341,52.6,21,0,No Failure,0
5919,2024-02-11 10:20:00,L53098,300.6,310.1,1541,42.0,23,0,No Failure,0
5920,2024-02-11 10:30:00,L53099,300.6,310.3,1414,50.6,25,0,No Failure,0
5921,2024-02-11 10:40:00,L53100,300.5,310.2,1764,25.9,27,0,No Failure,0
5922,2024-02-11 10:50:00,L53101,300.5,310.3,1336,57.1,29,0,No Failure,0
5923,2024-02-11 11:00:00,L53102,300.5,310.3,1435,43.3,31,0,No Failure,0
5924,2024-02-11 11:10:00,M20783,300.4,310.3,1537,35.0,33,0,No Failure,0
5925,2024-02-11 11:20:00,L53104,300.3,310.2,1369,48.8,36,0,No Failure,0
5926,2024-02-11 11:30:00,M20785,300.2,310.1,1619,31.3,38,0,No Failure,0
5927,2024-02-11 11:40:00,L53106,300.2,310.1,1440,51.1,41,0,No Failure,0
5928,2024-02-11 11:50:00,L53107,300.2,310.1,1649,30.5,43,0,No Failure,0
5929,2024-02-11 12:00:00,M20788,300.2,310.1,1550,38.7,45,0,No Failure,0
5930,2024-02-11 12:10:00,L53109,300.3,310.2,1471,45.2,48,0,No Failure,0
5931,2024-02-11 12:20:00,L53110,300.3,310.3,1483,51.6,50,0,No Failure,0
5932,2024-02-11 12:30:00,L53111,300.3,310.4,1336,54.4,52,0,No Failure,0
5933,2024-02-11 12:40:00,L53112,300.5,310.5,1515,36.6,54,0,No Failure,0
5934,2024-02-11 12:50:00,L53113,300.5,310.5,1373,47.4,56,0,No Failure,0
5935,2024-02-11 13:00:00,H35348,300.6,310.5,1454,51.2,58,0,No Failure,0
5936,2024-02-11 13:10:00,L53115,300.5,310.5,1646,34.5,63,0,No Failure,0
5937,2024-02-11 13:20:00,M20796,300.5,310.4,1548,37.3,65,0,No Failure,0
5938,2024-02-11 13:30:00,M20797,300.6,310.5,1462,41.3,68,0,No Failure,0
5939,2024-02-11 13:40:00,L53118,300.5,310.4,1702,33.1,71,0,No Failure,0
5940,2024-02-11 13:50:00,L53119,300.5,310.5,1409,60.9,73,0,No Failure,0
5941,2024-02-11 14:00:00,M20800,300.6,310.6,1427,52.8,75,0,No Failure,0
5942,2024-02-11 14:10:00,L53121,300.6,310.7,1438,48.5,78,1,No Failure,214
5943,2024-02-11 14:20:00,L53122,300.7,310.7,1450,43.4,80,0,No Failure,0
5944,2024-02-11 14:30:00,L53123,300.7,310.7,1541,41.3,82,0,No Failure,0
5945,2024-02-11 14:40:00,M20804,300.7,310.6,1484,38.0,84,0,No Failure,0
5946,2024-02-11 14:50:00,M20805,300.8,310.8,1415,44.5,87,0,No Failure,0
5947,2024-02-11 15:00:00,L53126,300.7,310.8,1496,46.4,90,0,No Failure,0
5948,2024-02-11 15:10:00,M20807,300.7,310.8,1465,45.2,92,0,No Failure,0
5949,2024-02-11 15:20:00,L53128,300.7,310.8,2113,18.5,95,0,No Failure,0
5950,2024-02-11 15:30:00,M20809,300.7,310.8,1506,44.0,97,0,No Failure,0
5951,2024-02-11 15:40:00,L53130,300.7,310.8,1689,28.9,100,0,No Failure,0
5952,2024-02-11 15:50:00,L53131,300.7,310.9,1650,29.4,102,0,No Failure,0
5953,2024-02-11 16:00:00,L53132,300.7,310.8,1563,33.8,104,0,No Failure,0
5954,2024-02-11 16:10:00,M20813,300.7,310.9,1486,38.9,106,0,No Failure,0
5955,2024-02-11 16:20:00,L53134,300.8,310.9,1732,25.7,109,0,No Failure,0
5956,2024-02-11 16:30:00,L53135,300.7,310.8,1653,31.6,111,0,No Failure,0
5957,2024-02-11 16:40:00,L53136,300.7,310.9,1535,37.1,113,0,No Failure,0
5958,2024-02-11 16:50:00,L53137,300.7,310.9,1637,37.2,115,0,No Failure,0
5959,2024-02-11 17:00:00,L53138,300.6,310.8,1533,38.5,117,0,No Failure,0
5960,2024-02-11 17:10:00,L53139,300.6,310.8,1378,51.2,119,0,No Failure,0
5961,2024-02-11 17:20:00,L53140,300.5,310.7,1606,33.5,121,0,No Failure,0
5962,2024-02-11 17:30:00,L53141,300.3,310.7,1539,32.3,123,0,No Failure,0
5963,2024-02-11 17:40:00,L53142,300.5,310.8,1728,26.3,125,0,No Failure,0
5964,2024-02-11 17:50:00,H35377,300.4,310.7,1656,36.3,127,0,No Failure,0
5965,2024-02-11 18:00:00,H35378,300.5,310.8,1631,30.5,132,0,No Failure,0
5966,2024-02-11 18:10:00,H35379,300.5,310.9,1447,46.5,137,0,No Failure,0
5967,2024-02-11 18:20:00,L53146,300.4,310.8,1396,49.3,142,0,No Failure,0
5968,2024-02-11 18:30:00,L53147,300.4,310.8,1390,52.5,144,0,No Failure,0
5969,2024-02-11 18:40:00,L53148,300.4,310.8,1348,56.0,146,0,No Failure,0
5970,2024-02-11 18:50:00,M20829,300.4,310.8,1491,35.9,148,0,No Failure,0
5971,2024-02-11 19:00:00,L53150,300.4,310.8,1520,37.6,151,0,No Failure,0
5972,2024-02-11 19:10:00,L53151,300.5,310.8,1509,33.0,153,0,No Failure,0
5973,2024-02-11 19:20:00,L53152,300.5,310.8,1445,46.6,155,0,No Failure,0
5974,2024-02-11 19:30:00,L53153,300.5,310.8,1354,51.8,157,0,No Failure,0
5975,2024-02-11 19:40:00,L53154,300.5,310.7,1488,39.4,159,0,No Failure,0
5976,2024-02-11 19:50:00,H35389,300.5,310.7,1654,28.6,161,0,No Failure,0
5977,2024-02-11 20:00:00,H35390,300.5,310.6,1378,51.5,166,0,No Failure,0
5978,2024-02-11 20:10:00,L53157,300.6,310.7,1750,30.6,171,0,No Failure,0
5979,2024-02-11 20:20:00,L53158,300.5,310.6,1448,46.3,173,0,No Failure,0
5980,2024-02-11 20:30:00,H35393,300.6,310.7,1501,45.3,175,0,No Failure,0
5981,2024-02-11 20:40:00,M20840,300.6,310.7,1654,32.0,180,0,No Failure,0
5982,2024-02-11 20:50:00,M20841,300.7,310.7,1347,46.5,183,0,No Failure,0
5983,2024-02-11 21:00:00,L53162,300.7,310.8,1486,37.1,186,0,No Failure,0
5984,2024-02-11 21:10:00,H35397,300.8,310.8,1466,45.2,188,0,No Failure,0
5985,2024-02-11 21:20:00,H35398,300.7,310.8,1346,52.0,193,0,No Failure,0
5986,2024-02-11 21:30:00,L53165,300.7,310.7,1314,42.4,198,0,No Failure,0
5987,2024-02-11 21:40:00,L53166,300.6,310.7,1440,52.5,200,0,No Failure,0
5988,2024-02-11 21:50:00,L53167,300.7,310.8,1608,39.5,202,0,No Failure,0
5989,2024-02-11 22:00:00,H35402,300.7,310.8,1296,58.2,204,0,No Failure,0
5990,2024-02-11 22:10:00,L53169,300.7,310.7,1507,46.1,209,0,No Failure,0
5991,2024-02-11 22:20:00,M20850,300.7,310.7,1343,51.6,211,0,No Failure,0
5992,2024-02-11 22:30:00,L53171,300.7,310.7,1416,40.4,214,0,No Failure,0
5993,2024-02-11 22:40:00,L53172,300.7,310.6,1288,47.2,216,0,No Failure,0
5994,2024-02-11 22:50:00,M20853,300.7,310.6,1407,42.4,218,0,No Failure,0
5995,2024-02-11 23:00:00,L53174,300.6,310.4,1608,39.2,221,0,No Failure,0
5996,2024-02-11 23:10:00,L53175,300.6,310.3,1920,22.3,223,0,No Failure,0
5997,2024-02-11 23:20:00,M20856,300.5,310.2,1386,48.2,225,0,No Failure,0
5998,2024-02-11 23:30:00,M20857,300.5,310.2,1571,34.6,228,0,No Failure,0
5999,2024-02-11 23:40:00,M20858,300.4,310.2,1613,36.9,231,0,No Failure,0
6000,2024-02-11 23:50:00,M20859,300.4,310.2,1671,30.5,234,1,Tool Wear Failure,48
6001,2024-02-12 00:00:00,H35414,300.4,310.2,1431,43.2,0,0,No Failure,0
6002,2024-02-12 00:10:00,M20861,300.4,310.2,1380,47.3,5,0,No Failure,0
6003,2024-02-12 00:20:00,L53182,300.5,310.3,1683,31.5,8,0,No Failure,0
6004,2024-02-12 00:30:00,L53183,300.4,310.2,1529,36.2,10,0,No Failure,0
6005,2024-02-12 00:40:00,L53184,300.5,310.4,1761,26.5,12,0,No Failure,0
6006,2024-02-12 00:50:00,L53185,300.6,310.5,1570,38.3,14,0,No Failure,0
6007,2024-02-12 01:00:00,M20866,300.6,310.5,2156,18.0,16,0,No Failure,0
6008,2024-02-12 01:10:00,M20867,300.7,310.6,1349,54.5,19,0,No Failure,0
6009,2024-02-12 01:20:00,L53188,300.7,310.7,1431,39.3,22,0,No Failure,0
6010,2024-02-12 01:30:00,L53189,300.6,310.6,1931,22.0,24,0,No Failure,0
6011,2024-02-12 01:40:00,H35424,300.7,310.7,1428,43.4,26,0,No Failure,0
6012,2024-02-12 01:50:00,L53191,300.8,310.8,1564,36.2,31,0,No Failure,0
6013,2024-02-12 02:00:00,H35426,300.8,310.9,1425,44.0,33,0,No Failure,0
